Iteration	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
103	27523.41888888889	19973.885555555556	0.0	0.0	41514.39472222222	0.0
104	27380.688611111113	19238.398055555557	0.0	0.0	41540.131944444445	0.0
105	27509.89361111111	19899.789444444443	0.0	0.0	41432.02611111111	0.0
106	27353.89611111111	19394.2375	0.0	0.0	41255.96388888889	0.0
107	27508.402222222223	19246.03888888889	0.0	0.0	41254.92222222222	0.0
108	27291.658888888887	19372.161111111112	0.0	0.0	41081.86944444444	0.0
109	27407.480555555554	19210.678888888888	0.0	0.0	41128.974444444444	0.0
110	27480.638333333332	19273.5475	0.0	0.0	41128.06805555556	0.0
111	27442.043611111112	19065.936388888887	0.0	0.0	41139.40222222222	0.0
112	27468.905833333334	18914.584166666667	0.0	0.0	41115.75166666666	0.0
113	27523.771944444445	18882.16638888889	0.0	0.0	40886.39	0.0
114	27684.756666666668	18918.77388888889	0.0	0.0	40949.91527777778	0.0
115	27531.0475	18320.941666666666	0.0	0.0	40875.505277777775	0.0
116	27341.533333333333	18425.783055555556	0.0	0.0	41020.730833333335	0.0
117	27601.788055555557	18518.494444444445	0.0	0.0	40837.93138888889	0.0
118	27477.45138888889	18216.402777777777	0.0	0.0	41011.49888888889	0.0
119	27536.99722222222	18368.903333333332	0.0	0.0	40824.081666666665	0.0
120	27492.286666666667	18627.980833333335	0.0	0.0	40766.796944444446	0.0
121	27529.493611111113	18286.79472222222	0.0	0.0	41043.578055555554	0.0
122	27486.04111111111	18489.996944444443	0.0	0.0	40957.46722222222	0.0
123	27496.269166666665	18446.41277777778	0.0	0.0	40885.25666666667	0.0
124	27556.276944444446	18220.983888888888	0.0	0.0	40771.348333333335	0.0
125	27470.36972222222	18690.199166666665	0.0	0.0	40940.91333333333	0.0
126	27542.996944444443	18518.574166666665	0.0	0.0	40763.11666666667	0.0
127	27643.699722222223	18753.150833333333	0.0	0.0	40817.988333333335	0.0
128	27418.950833333332	18097.405555555557	0.0	0.0	40893.45527777778	0.0
129	27661.777222222223	18911.799166666668	0.0	0.0	40868.501388888886	0.0
130	27509.090833333332	18609.2275	0.0	0.0	40933.00305555556	0.0
131	27587.735	18641.020555555555	0.0	0.0	40869.647777777776	0.0
132	27656.193055555555	18715.8825	0.0	0.0	41141.89916666667	0.0
133	27445.321111111112	18725.33638888889	0.0	0.0	40980.57833333333	0.0
134	27769.780555555557	18734.30638888889	0.0	0.0	41127.571388888886	0.0
135	27495.16277777778	18400.748055555556	0.0	0.0	40636.17555555556	0.0
136	27814.87583333333	18899.033888888887	0.0	0.0	40842.545	0.0
137	28065.206388888888	22352.00083333333	0.0	0.0	34027.29027777778	0.0
138	27989.176111111112	23801.56333333333	0.0	0.0	31899.987222222222	0.0
139	28440.571944444444	24029.705	0.0	0.0	30713.381388888887	0.0
140	28764.45111111111	25030.63861111111	0.0	0.0	29645.01361111111	0.0
141	28662.168611111112	25585.727777777778	0.0	0.0	28498.52888888889	0.0
142	29010.30222222222	26100.196944444444	0.0	0.0	27397.682777777776	0.0
143	29109.504722222224	26669.393333333333	0.0	0.0	25835.055277777778	0.0
144	28947.23138888889	25965.565555555557	0.0	0.0	25137.104444444445	0.0
145	29422.206666666665	27733.144166666665	0.0	0.0	24656.85111111111	0.0
146	29471.74388888889	28043.08388888889	0.0	0.0	23732.736944444445	0.0
147	29568.905833333334	28761.547222222223	0.0	0.0	22965.457777777778	0.0
148	29724.0075	27979.105277777777	0.0	0.0	22262.639166666668	0.0
149	29685.758333333335	27664.895833333332	0.0	0.0	21817.740555555556	0.0
150	29706.42388888889	28456.432777777776	0.0	0.0	21291.901944444446	0.0
151	29783.095555555556	27743.800833333335	0.0	0.0	20855.698333333334	0.0
152	29844.93138888889	27510.41972222222	0.0	0.0	20603.494166666667	0.0
153	30261.746944444443	28059.093333333334	0.0	0.0	19090.40111111111	0.0
154	30247.825277777778	27274.616666666665	0.0	0.0	18264.905555555557	0.0
155	30406.7275	26183.39361111111	0.0	0.0	17604.3875	0.0
156	30227.639722222222	25502.866666666665	0.0	0.0	16727.126111111113	0.0
157	30604.799166666668	25803.637777777778	0.0	0.0	16156.77638888889	0.0
158	30489.18833333333	24838.5	0.0	0.0	15697.669444444444	0.0
159	30361.012222222223	24470.37861111111	0.0	0.0	15519.92861111111	0.0
160	30355.562222222223	24551.091666666667	0.0	0.0	14240.692777777778	0.0
161	30622.645833333332	24244.715833333332	0.0	0.0	14246.800277777778	0.0
162	30383.004722222224	24650.240555555556	0.0	0.0	13787.495555555555	0.0
163	30599.209166666667	24753.80972222222	0.0	0.0	13567.483888888888	0.0
164	30635.865	25084.50388888889	0.0	0.0	13475.578611111112	0.0
165	30412.699722222223	24265.336666666666	0.0	0.0	13349.644722222221	0.0
166	30683.384444444444	25059.418055555554	0.0	0.0	12940.33138888889	0.0
167	30505.970833333333	24446.255	0.0	0.0	12745.899166666666	0.0
168	30708.319166666668	24523.6525	0.0	0.0	12642.285555555556	0.0
169	30414.87638888889	24500.425555555557	0.0	0.0	12488.567222222222	0.0
170	30647.83111111111	24871.116944444446	0.0	0.0	12229.995	0.0
171	30698.291666666668	24740.799166666668	0.0	0.0	11899.528333333334	0.0
172	30712.26861111111	24765.95	0.0	0.0	12039.605833333333	0.0
173	30708.054444444446	24775.268055555556	0.0	0.0	11913.994722222222	0.0
174	30870.185833333333	24894.779444444444	0.0	0.0	11760.850277777778	0.0
