Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
10	16:19:53	16:19:53	16:19:53	16:19:53	16:19:54	16:19:54			16:19:54	16:19:54	16:19:54	16:19:54	16:20:19	16:20:19	16:20:19	16:20:19	16:20:20	16:20:20	16:20:20	16:20:20	16:20:24	16:20:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:25	00:00:00	00:00:00	00:00:00	00:00:04	00:00:30
11	16:20:24	16:20:24	16:20:24	16:20:24	16:20:24	16:20:24			16:20:24	16:20:24	16:20:24	16:20:24	16:20:45	16:20:45	16:20:45	16:20:45	16:20:45	16:20:45			16:20:47	16:20:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
12	16:20:47	16:20:47	16:20:47	16:20:47	16:20:48	16:20:48			16:20:48	16:20:48	16:20:48	16:20:48	16:21:10	16:21:10	16:21:10	16:21:10	16:21:10	16:21:10			16:21:12	16:21:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
13	16:21:13	16:21:13	16:21:13	16:21:13	16:21:13	16:21:13			16:21:13	16:21:13	16:21:13	16:21:13	16:21:34	16:21:34	16:21:34	16:21:34	16:21:34	16:21:34			16:21:37	16:21:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
14	16:21:37	16:21:37	16:21:37	16:21:37	16:21:37	16:21:37			16:21:37	16:21:37	16:21:37	16:21:37	16:21:57	16:21:57	16:21:57	16:21:57	16:21:57	16:21:57			16:22:00	16:22:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
15	16:22:00	16:22:00	16:22:00	16:22:00	16:22:00	16:22:00			16:22:00	16:22:00	16:22:00	16:22:00	16:22:21	16:22:21	16:22:21	16:22:21	16:22:21	16:22:21			16:22:23	16:22:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
16	16:22:23	16:22:23	16:22:23	16:22:23	16:22:24	16:22:24			16:22:24	16:22:24	16:22:24	16:22:24	16:22:44	16:22:44	16:22:44	16:22:44	16:22:44	16:22:44			16:22:46	16:22:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
17	16:22:46	16:22:46	16:22:47	16:22:47	16:22:47	16:22:47			16:22:47	16:22:47	16:22:47	16:22:47	16:23:09	16:23:09	16:23:09	16:23:09	16:23:09	16:23:09			16:23:12	16:23:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
18	16:23:12	16:23:12	16:23:12	16:23:12	16:23:12	16:23:12			16:23:12	16:23:12	16:23:12	16:23:12	16:23:37	16:23:37	16:23:37	16:23:37	16:23:37	16:23:37			16:23:40	16:23:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:24	00:00:00	00:00:00		00:00:02	00:00:27
19	16:23:40	16:23:40	16:23:40	16:23:40	16:23:40	16:23:40			16:23:40	16:23:40	16:23:40	16:23:40	16:24:02	16:24:02	16:24:02	16:24:02	16:24:02	16:24:02			16:24:05	16:24:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:24
20	16:24:05	16:24:05	16:24:05	16:24:05	16:24:05	16:24:05			16:24:05	16:24:05	16:24:05	16:24:05	16:24:27	16:24:27	16:24:27	16:24:27	16:24:27	16:24:27	16:24:27	16:24:27	16:24:31	16:24:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00	00:00:00	00:00:03	00:00:26
21	16:24:31	16:24:31	16:24:31	16:24:31	16:24:31	16:24:31			16:24:31	16:24:31	16:24:31	16:24:31	16:24:54	16:24:54	16:24:54	16:24:54	16:24:54	16:24:54			16:24:56	16:24:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
22	16:24:56	16:24:56	16:24:56	16:24:56	16:24:57	16:24:57			16:24:57	16:24:57	16:24:57	16:24:57	16:25:22	16:25:22	16:25:22	16:25:22	16:25:22	16:25:22			16:25:25	16:25:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:25	00:00:00	00:00:00		00:00:02	00:00:28
23	16:25:25	16:25:25	16:25:25	16:25:25	16:25:25	16:25:25			16:25:25	16:25:25	16:25:25	16:25:25	16:25:47	16:25:47	16:25:47	16:25:47	16:25:47	16:25:47			16:25:50	16:25:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
24	16:25:50	16:25:50	16:25:50	16:25:50	16:25:50	16:25:50			16:25:50	16:25:50	16:25:50	16:25:50	16:26:12	16:26:12	16:26:12	16:26:12	16:26:12	16:26:12			16:26:14	16:26:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
25	16:26:14	16:26:14	16:26:14	16:26:14	16:26:15	16:26:15			16:26:15	16:26:15	16:26:15	16:26:15	16:26:38	16:26:38	16:26:38	16:26:38	16:26:38	16:26:38			16:26:40	16:26:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:23	00:00:00	00:00:00		00:00:02	00:00:26
26	16:26:40	16:26:41	16:26:41	16:26:41	16:26:41	16:26:41			16:26:41	16:26:41	16:26:41	16:26:41	16:27:03	16:27:03	16:27:03	16:27:03	16:27:03	16:27:03			16:27:05	16:27:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
27	16:27:05	16:27:05	16:27:06	16:27:06	16:27:06	16:27:06			16:27:06	16:27:06	16:27:06	16:27:06	16:27:29	16:27:29	16:27:29	16:27:29	16:27:29	16:27:29			16:27:32	16:27:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:23	00:00:00	00:00:00		00:00:02	00:00:26
28	16:27:32	16:27:32	16:27:32	16:27:32	16:27:32	16:27:32			16:27:32	16:27:32	16:27:32	16:27:32	16:27:54	16:27:54	16:27:54	16:27:54	16:27:54	16:27:54			16:27:57	16:27:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
29	16:27:57	16:27:57	16:27:57	16:27:57	16:27:57	16:27:57			16:27:57	16:27:57	16:27:57	16:27:57	16:28:19	16:28:19	16:28:19	16:28:19	16:28:19	16:28:19			16:28:22	16:28:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
30	16:28:22	16:28:22	16:28:22	16:28:22	16:28:22	16:28:22			16:28:22	16:28:22	16:28:22	16:28:22	16:28:45	16:28:45	16:28:45	16:28:45	16:28:45	16:28:45	16:28:45	16:28:45	16:28:49	16:28:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00	00:00:00	00:00:03	00:00:26
31	16:28:49	16:28:49	16:28:49	16:28:49	16:28:49	16:28:49			16:28:49	16:28:49	16:28:49	16:28:49	16:29:11	16:29:11	16:29:11	16:29:11	16:29:11	16:29:11			16:29:13	16:29:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
32	16:29:14	16:29:14	16:29:14	16:29:14	16:29:14	16:29:14			16:29:14	16:29:14	16:29:14	16:29:14	16:29:38	16:29:38	16:29:38	16:29:38	16:29:38	16:29:38			16:29:41	16:29:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:24	00:00:00	00:00:00		00:00:02	00:00:27
33	16:29:41	16:29:41	16:29:41	16:29:41	16:29:41	16:29:41			16:29:41	16:29:41	16:29:41	16:29:41	16:30:04	16:30:04	16:30:04	16:30:04	16:30:04	16:30:04			16:30:07	16:30:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
34	16:30:07	16:30:07	16:30:07	16:30:07	16:30:07	16:30:07			16:30:07	16:30:07	16:30:07	16:30:07	16:30:30	16:30:30	16:30:30	16:30:30	16:30:30	16:30:30			16:30:33	16:30:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:23	00:00:00	00:00:00		00:00:02	00:00:26
35	16:30:33	16:30:33	16:30:33	16:30:33	16:30:33	16:30:33			16:30:33	16:30:33	16:30:33	16:30:33	16:30:58	16:30:58	16:30:58	16:30:58	16:30:58	16:30:58			16:31:00	16:31:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:24	00:00:00	00:00:00		00:00:02	00:00:27
36	16:31:01	16:31:01	16:31:01	16:31:01	16:31:01	16:31:01			16:31:01	16:31:01	16:31:01	16:31:01	16:31:23	16:31:23	16:31:23	16:31:23	16:31:23	16:31:23			16:31:26	16:31:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
37	16:31:26	16:31:26	16:31:26	16:31:26	16:31:26	16:31:26			16:31:27	16:31:27	16:31:27	16:31:27	16:31:50	16:31:50	16:31:50	16:31:50	16:31:50	16:31:50			16:31:52	16:31:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:26
38	16:31:52	16:31:52	16:31:53	16:31:53	16:31:53	16:31:53			16:31:53	16:31:53	16:31:53	16:31:53	16:32:19	16:32:19	16:32:19	16:32:19	16:32:19	16:32:19			16:32:21	16:32:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:25	00:00:00	00:00:00		00:00:02	00:00:28
39	16:32:21	16:32:21	16:32:21	16:32:21	16:32:22	16:32:22			16:32:22	16:32:22	16:32:22	16:32:22	16:32:44	16:32:44	16:32:44	16:32:44	16:32:44	16:32:44			16:32:47	16:32:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
40	16:32:47	16:32:47	16:32:47	16:32:47	16:32:48	16:32:48			16:32:48	16:32:48	16:32:48	16:32:48	16:33:12	16:33:12	16:33:12	16:33:12	16:33:12	16:33:12	16:33:12	16:33:12	16:33:16	16:33:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:23	00:00:00	00:00:00	00:00:00	00:00:04	00:00:28
41	16:33:16	16:33:16	16:33:16	16:33:16	16:33:16	16:33:16			16:33:16	16:33:16	16:33:16	16:33:16	16:33:41	16:33:41	16:33:41	16:33:41	16:33:41	16:33:41			16:33:44	16:33:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:24	00:00:00	00:00:00		00:00:02	00:00:27
42	16:33:44	16:33:44	16:33:44	16:33:44	16:33:44	16:33:44			16:33:44	16:33:44	16:33:44	16:33:44	16:34:10	16:34:10	16:34:10	16:34:10	16:34:10	16:34:10			16:34:13	16:34:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:25	00:00:00	00:00:00		00:00:02	00:00:28
43	16:34:13	16:34:13	16:34:13	16:34:13	16:34:13	16:34:13			16:34:13	16:34:13	16:34:13	16:34:13	16:34:38	16:34:38	16:34:38	16:34:38	16:34:38	16:34:38			16:34:41	16:34:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:24	00:00:00	00:00:00		00:00:02	00:00:28
44	16:34:41	16:34:41	16:34:41	16:34:41	16:34:41	16:34:41			16:34:41	16:34:41	16:34:41	16:34:41	16:35:04	16:35:04	16:35:04	16:35:04	16:35:04	16:35:04			16:35:07	16:35:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:26
45	16:35:07	16:35:07	16:35:07	16:35:07	16:35:07	16:35:07			16:35:07	16:35:07	16:35:07	16:35:07	16:35:36	16:35:36	16:35:36	16:35:36	16:35:36	16:35:36			16:35:39	16:35:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:28	00:00:00	00:00:00		00:00:02	00:00:32
46	16:35:39	16:35:39	16:35:39	16:35:39	16:35:40	16:35:40			16:35:40	16:35:40	16:35:40	16:35:40	16:36:06	16:36:06	16:36:06	16:36:06	16:36:06	16:36:06			16:36:08	16:36:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:25	00:00:00	00:00:00		00:00:02	00:00:29
47	16:36:08	16:36:08	16:36:09	16:36:09	16:36:09	16:36:09			16:36:09	16:36:09	16:36:09	16:36:09	16:36:32	16:36:32	16:36:32	16:36:32	16:36:32	16:36:32			16:36:34	16:36:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
48	16:36:34	16:36:34	16:36:35	16:36:35	16:36:35	16:36:35			16:36:35	16:36:35	16:36:35	16:36:35	16:36:58	16:36:58	16:36:58	16:36:58	16:36:58	16:36:58			16:37:01	16:37:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:23	00:00:00	00:00:00		00:00:02	00:00:26
49	16:37:01	16:37:01	16:37:01	16:37:01	16:37:01	16:37:01			16:37:01	16:37:01	16:37:01	16:37:01	16:37:24	16:37:24	16:37:24	16:37:24	16:37:24	16:37:24			16:37:26	16:37:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
50	16:37:27	16:37:27	16:37:27	16:37:27	16:37:27	16:37:27			16:37:27	16:37:27	16:37:27	16:37:27	16:37:51	16:37:51	16:37:51	16:37:51	16:37:51	16:37:51	16:37:51	16:37:51	16:37:55	16:37:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:23	00:00:00	00:00:00	00:00:00	00:00:04	00:00:28
51	16:37:55	16:37:55	16:37:55	16:37:55	16:37:55	16:37:55			16:37:55	16:37:55	16:37:55	16:37:55	16:38:21	16:38:21	16:38:21	16:38:21	16:38:21	16:38:21			16:38:23	16:38:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:25	00:00:00	00:00:00		00:00:02	00:00:28
52	16:38:24	16:38:24	16:38:24	16:38:24	16:38:24	16:38:24			16:38:24	16:38:24	16:38:24	16:38:24	16:38:49	16:38:49	16:38:49	16:38:49	16:38:49	16:38:49			16:38:52	16:38:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:24	00:00:00	00:00:00		00:00:02	00:00:28
53	16:38:52	16:38:52	16:38:52	16:38:52	16:38:52	16:38:52			16:38:52	16:38:52	16:38:52	16:38:52	16:39:19	16:39:19	16:39:19	16:39:19	16:39:19	16:39:19			16:39:22	16:39:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:26	00:00:00	00:00:00		00:00:02	00:00:30
54	16:39:22	16:39:22	16:39:22	16:39:22	16:39:22	16:39:22			16:39:23	16:39:23	16:39:23	16:39:23	16:39:47	16:39:47	16:39:47	16:39:47	16:39:47	16:39:47			16:39:50	16:39:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:24	00:00:00	00:00:00		00:00:02	00:00:28
55	16:39:50	16:39:50	16:39:50	16:39:50	16:39:50	16:39:50			16:39:51	16:39:51	16:39:51	16:39:51	16:40:13	16:40:13	16:40:13	16:40:13	16:40:13	16:40:13			16:40:16	16:40:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
56	16:40:16	16:40:16	16:40:16	16:40:16	16:40:16	16:40:16			16:40:16	16:40:16	16:40:16	16:40:16	16:40:40	16:40:40	16:40:40	16:40:40	16:40:40	16:40:40			16:40:43	16:40:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:24	00:00:00	00:00:00		00:00:02	00:00:27
57	16:40:43	16:40:43	16:40:43	16:40:43	16:40:43	16:40:43			16:40:43	16:40:43	16:40:44	16:40:44	16:41:07	16:41:07	16:41:07	16:41:07	16:41:07	16:41:07			16:41:09	16:41:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:23	00:00:00	00:00:00		00:00:02	00:00:26
58	16:41:10	16:41:10	16:41:10	16:41:10	16:41:10	16:41:10			16:41:10	16:41:10	16:41:10	16:41:10	16:41:40	16:41:40	16:41:40	16:41:40	16:41:40	16:41:40			16:41:43	16:41:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:29	00:00:00	00:00:00		00:00:02	00:00:33
59	16:41:43	16:41:43	16:41:43	16:41:43	16:41:43	16:41:43			16:41:43	16:41:43	16:41:43	16:41:43	16:42:05	16:42:05	16:42:05	16:42:05	16:42:05	16:42:05			16:42:08	16:42:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:25
60	16:42:08	16:42:08	16:42:08	16:42:08	16:42:08	16:42:08			16:42:09	16:42:09	16:42:09	16:42:09	16:42:32	16:42:32	16:42:32	16:42:32	16:42:32	16:42:32	16:42:32	16:42:32	16:42:37	16:42:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:23	00:00:00	00:00:00	00:00:00	00:00:04	00:00:28
61	16:42:37	16:42:37	16:42:37	16:42:37	16:42:37	16:42:37			16:42:37	16:42:37	16:42:37	16:42:37	16:43:02	16:43:02	16:43:02	16:43:02	16:43:02	16:43:02			16:43:05	16:43:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:25	00:00:00	00:00:00		00:00:02	00:00:28
62	16:43:05	16:43:05	16:43:05	16:43:05	16:43:06	16:43:06			16:43:06	16:43:06	16:43:06	16:43:06	16:43:29	16:43:29	16:43:29	16:43:29	16:43:29	16:43:29			16:43:32	16:43:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:23	00:00:00	00:00:00		00:00:02	00:00:27
63	16:43:32	16:43:32	16:43:32	16:43:32	16:43:33	16:43:33			16:43:33	16:43:33	16:43:33	16:43:33	16:43:55	16:43:55	16:43:55	16:43:55	16:43:55	16:43:55			16:43:57	16:43:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:25
64	16:43:58	16:43:58	16:43:58	16:43:58	16:43:58	16:43:58			16:43:58	16:43:58	16:43:58	16:43:58	16:44:22	16:44:22	16:44:22	16:44:22	16:44:22	16:44:22			16:44:24	16:44:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:23	00:00:00	00:00:00		00:00:02	00:00:26
65	16:44:25	16:44:25	16:44:25	16:44:25	16:44:25	16:44:25			16:44:25	16:44:25	16:44:25	16:44:25	16:44:45	16:44:45	16:44:46	16:44:46	16:44:46	16:44:46			16:44:48	16:44:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
66	16:44:49	16:44:49	16:44:49	16:44:49	16:44:49	16:44:49			16:44:49	16:44:49	16:44:49	16:44:49	16:45:11	16:45:11	16:45:11	16:45:11	16:45:11	16:45:11			16:45:14	16:45:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:25
67	16:45:14	16:45:14	16:45:14	16:45:14	16:45:14	16:45:14			16:45:14	16:45:14	16:45:14	16:45:14	16:45:35	16:45:35	16:45:35	16:45:35	16:45:35	16:45:35			16:45:38	16:45:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:24
68	16:45:38	16:45:38	16:45:38	16:45:38	16:45:39	16:45:39			16:45:39	16:45:39	16:45:39	16:45:39	16:46:01	16:46:01	16:46:01	16:46:01	16:46:01	16:46:01			16:46:04	16:46:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:26
69	16:46:04	16:46:04	16:46:05	16:46:05	16:46:05	16:46:05			16:46:05	16:46:05	16:46:05	16:46:05	16:46:26	16:46:26	16:46:26	16:46:26	16:46:26	16:46:26			16:46:28	16:46:28		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
70	16:46:28	16:46:28	16:46:28	16:46:28	16:46:29	16:46:29			16:46:29	16:46:29	16:46:29	16:46:29	16:46:51	16:46:51	16:46:51	16:46:51	16:46:51	16:46:51	16:46:51	16:46:51	16:46:55	16:46:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00	00:00:00	00:00:04	00:00:26
71	16:46:55	16:46:55	16:46:55	16:46:55	16:46:56	16:46:56			16:46:56	16:46:56	16:46:56	16:46:56	16:47:19	16:47:19	16:47:19	16:47:19	16:47:19	16:47:19			16:47:22	16:47:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:23	00:00:00	00:00:00		00:00:02	00:00:26
72	16:47:22	16:47:22	16:47:22	16:47:22	16:47:23	16:47:23			16:47:23	16:47:23	16:47:23	16:47:23	16:47:43	16:47:43	16:47:43	16:47:43	16:47:43	16:47:43			16:47:46	16:47:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
73	16:47:46	16:47:46	16:47:46	16:47:46	16:47:46	16:47:46			16:47:46	16:47:46	16:47:46	16:47:46	16:48:07	16:48:07	16:48:07	16:48:07	16:48:07	16:48:07			16:48:10	16:48:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:24
74	16:48:10	16:48:10	16:48:10	16:48:10	16:48:11	16:48:11			16:48:11	16:48:11	16:48:11	16:48:11	16:48:31	16:48:31	16:48:31	16:48:31	16:48:31	16:48:31			16:48:34	16:48:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:24
75	16:48:34	16:48:34	16:48:34	16:48:34	16:48:35	16:48:35			16:48:35	16:48:35	16:48:35	16:48:35	16:48:56	16:48:56	16:48:56	16:48:56	16:48:56	16:48:56			16:48:59	16:48:59		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
76	16:48:59	16:48:59	16:48:59	16:48:59	16:49:00	16:49:00			16:49:00	16:49:00	16:49:00	16:49:00	16:49:21	16:49:21	16:49:21	16:49:21	16:49:21	16:49:21			16:49:24	16:49:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
77	16:49:24	16:49:24	16:49:24	16:49:24	16:49:25	16:49:25			16:49:25	16:49:25	16:49:25	16:49:25	16:49:47	16:49:47	16:49:47	16:49:47	16:49:47	16:49:47			16:49:50	16:49:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:26
78	16:49:50	16:49:50	16:49:51	16:49:51	16:49:51	16:49:51			16:49:51	16:49:51	16:49:51	16:49:51	16:50:13	16:50:13	16:50:13	16:50:13	16:50:13	16:50:13			16:50:16	16:50:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:03	00:00:25
79	16:50:16	16:50:16	16:50:16	16:50:16	16:50:17	16:50:17			16:50:17	16:50:17	16:50:17	16:50:17	16:50:40	16:50:40	16:50:41	16:50:41	16:50:41	16:50:41			16:50:44	16:50:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:23	00:00:00	00:00:00		00:00:02	00:00:27
