ITERATION	avg. Average Leg distance	avg. Average Trip distance
68	9433.948853235237	28570.64451944297	
69	9482.950532192002	28769.85936323161	
70	9399.530256626287	28551.87551626967	
71	9457.89302060664	28756.250933358628	
72	9365.876826638407	28516.918938157167	
73	9382.246281641155	28643.734085184642	
74	9309.176875290137	28454.40691122716	
75	9329.891647723513	28550.563318555694	
76	9236.999462471094	28277.291489138002	
77	9293.342442485662	28511.850681103842	
78	9216.684690284508	28334.178414770224	
79	9188.708395695256	28235.93167576093	
80	9121.405705376756	28079.12450716467	
81	9143.17146083132	28139.410874608406	
82	9090.211671087322	27966.69482993932	
83	9116.12079050477	28129.769457515227	
84	9024.763854184006	27846.295235034373	
85	9063.60846698042	28025.8432038998	
86	8999.379029522896	27858.87821645656	
87	9027.200266780115	27972.72029409474	
88	8961.410668236933	27794.520122218415	
89	9035.318032956733	28034.298472291517	
90	8988.53010778042	27931.518896935468	
91	9007.343526593553	27991.69258790344	
92	8973.53705236209	27912.370085141833	
93	9018.598121132824	28077.235771445197	
94	9018.253112150056	28079.12540916033	
95	8989.943685521095	28020.333829266794	
96	8986.400609179234	28008.694175873166	
97	8951.913761387359	27904.203879280565	
98	8950.345976482911	27901.40172931263	
99	8948.96210101882	27904.712272343993	
100	8925.720072746644	27814.095176343657	
101	8950.343098374335	27911.34742212416	
102	8947.286533225097	27899.406038592784	
103	8948.260449708683	27914.186875636453	
104	8940.202483152469	27885.304706561437	
105	8950.425322018073	27930.91138644942	
106	8993.659975249195	28053.18729289163	
107	8990.515512119367	28043.409450281968	
108	8996.052266345754	28076.818961172474	
109	8998.580607916569	28067.43541161016	
110	8984.64824153361	28035.428636806366	
111	8996.619088047391	28058.89024414445	
112	8992.452633140989	28056.343561315294	
113	8969.036114502356	27982.43308945608	
114	8969.972089933555	27987.159772372197	
115	8975.486800063156	28006.913847945045	
116	8962.406426026846	27965.64663099279	
117	8946.776481382343	27920.212388440486	
118	8971.955543947553	27852.0192949789	
119	8960.098288175786	27949.492976231322	
120	8971.930347378633	27981.00091034626	
121	8976.472469244698	28021.549904379932	
122	8976.606742421358	28019.61403734139	
123	9005.434423976201	28091.5881032908	
124	9020.850757669261	28154.668937295744	
125	8995.654813049056	28082.776934088623	
126	9022.256609070546	28175.382131284423	
127	8993.76965497083	28099.88319259737	
128	9043.001959820296	28244.39649353653	
129	9024.680194915443	28190.77228801738	
130	9049.397078611088	28285.259866422515	
131	9024.385479014722	28201.3948422035	
132	9065.504680552918	28326.211336473665	
133	9042.409907373434	28269.61705834393	
134	9078.623649348057	28366.1099870424	
135	9065.004752185683	28335.00923922096	
136	9097.451019808852	28423.119886222987	
137	9102.187494176476	28424.210927528784	
138	9098.540186854802	28414.91237916699	
139	9090.117047703106	28377.032858509527	
140	9086.324197032653	28372.774669992563	
141	9091.585367993248	28395.28989729989	
142	9071.844318751	28338.94342925746	
143	9104.401944902038	28451.505457336003	
144	9064.160913587102	28307.138591909774	
145	9091.113866646685	28370.80417090658	
146	9081.851936628387	28359.995866711968	
147	9125.095128068055	28493.96713201112	
148	9082.963029470782	28375.734423334678	
149	9112.299384674716	28489.547066203595	
150	9057.467985027642	28334.535169425893	
151	9042.697696883011	28308.071277232946	
152	9061.950175657063	28354.789909274874	
153	9023.35649166839	28243.63320278241	
154	9096.329189296364	28464.849329569908	
155	9049.53325359	28340.111657907586	
156	9097.455232564052	28489.077616760827	
157	9087.18350290955	28478.716845015053	
158	9079.707545609936	28438.6787248993	
159	9107.387014505937	28529.759788053176	
160	9102.85178852248	28535.527956528684	
161	9125.124931471502	28597.2480020353	
162	9110.03496135713	28561.22393255953	
163	9149.116798515402	28697.53006819944	
164	9149.228735881034	28686.895651044993	
165	9180.018577282797	28794.692802156707	
166	9188.872996919661	28809.77769592777	
167	9217.119118843071	28912.60664790272	
168	9193.60902485249	28885.937082916236	
169	9155.28006625791	28762.951819335376	
170	9189.780107408984	28857.28277937939	
171	9182.272556964434	28834.357473850796	
172	9213.610617057753	28955.14254479885	
173	9199.230457813028	28901.334473633444	
174	9232.034643521858	29055.649747211675	
175	9207.17651184431	28950.556458295236	
176	9260.790695143281	29173.445356967088	
177	9257.804417856321	29115.446613581462	
178	9302.249300804317	29325.575729773973	
179	9314.734005995204	29335.05447227488	
180	9317.415732812557	29354.322179980652	
181	9298.61539356455	29317.60198351648	
