Iteration	pt	walk
254	1931625.328	45121.83748391422
255	1948740.906	44756.69758943237
256	1941137.78	45137.106405872444
257	1944434.2	44982.05802851278
258	1946585.821	45257.48148569485
259	1936784.877	44792.2980881441
260	1954264.465	44516.03169450036
261	1936503.034	44503.539576801704
262	1954679.027	45235.50238431638
263	1946392.045	44758.85474376941
264	1935746.096	44544.62252831463
265	1947415.914	44516.462473033505
266	1931609.99	44618.09986752514
267	1954176.86	44626.59008531108
268	1946054.961	44533.31054634361
269	1950040.573	44337.58288475565
270	1935853.01	44431.81272667676
271	1941240.912	43914.038772599255
272	1948527.769	44055.948658904395
273	1937307.695	43805.57496904191
274	1943376.196	43961.4525739791
275	1936795.888	44103.53954722415
276	1949300.496	44029.069276331575
277	1927720.48	43860.5141047329
278	1937262.861	43759.48978918671
279	1934433.172	43503.63319248933
280	1933101.753	43840.02421180412
281	1929561.88	43997.43637199421
282	1939312.721	43873.77425001903
283	1930825.169	43476.307057312806
284	1932716.847	44193.6010148393
285	1929153.101	43990.980192509895
286	1934928.421	43771.83537525331
287	1932924.576	44135.34920203559
288	1923842.905	43508.6983109476
289	1920112.168	43485.67018333428
290	1914048.944	43290.60859999443
291	1925353.014	43505.270106429
292	1929587.844	43237.45508782072
293	1930447.687	43172.94809861948
294	1930591.962	43180.84395410911
295	1926527.652	42998.71500132299
296	1925154.604	42791.40960736184
297	1927577.031	43178.078208629006
298	1922647.638	43124.72299852577
299	1930012.264	43282.72199628234
300	1925344.584	42963.16275279544
301	1921739.141	43049.892812222
302	1929318.38	42820.567345448675
303	1922167.587	42786.59691127177
304	1930980.295	42839.29033558788
305	1925944.019	42565.39466116471
306	1921253.833	42370.97033144712
307	1923026.622	42531.478747791836
308	1916399.653	42232.54226684277
309	1921950.486	42289.982978251675
310	1919015.235	41992.61800736439
311	1914549.108	42335.86463640921
312	1921657.516	42177.42754776692
313	1925331.273	42449.16075288722
314	1919914.659	42062.31559249715
315	1923838.877	42109.015234801635
316	1917249.339	42120.12033780534
317	1931323.872	41580.12076827326
318	1923768.177	41544.385604437215
319	1918313.098	41861.82931138396
320	1923621.25	41765.18669507615
321	1910998.217	41824.2993811156
322	1931211.651	41889.97419664902
323	1918553.473	41874.43397751988
324	1927201.211	41594.80229781065
325	1912232.228	41694.900057165556
326	1920192.248	42005.637591248465
327	1912749.05	41466.72314984053
328	1928668.953	41576.86745749808
329	1916984.684	41651.360846564756
330	1927107.81	41459.626178339335
331	1922806.789	41891.22087943149
332	1921586.339	41501.802049574544
333	1916873.178	41655.837277075516
334	1906703.463	41684.44301554402
335	1915390.093	41582.95653276098
336	1918093.76	41469.80143122929
337	1913894.377	41343.50969639258
338	1925548.078	41201.41793887692
339	1910734.854	41228.09684269667
340	1917696.474	41705.22525109233
341	1902709.459	41464.38141323966
342	1912349.9	41622.89700086618
343	1901343.113	41452.8477205828
344	1917678.657	41464.90568871021
345	1897760.41	41973.611164095804
346	1912564.421	41396.47150304541
347	1910440.285	41646.33849506936
348	1897051.121	41607.53739391751
349	1911738.413	41254.59382718496
350	1908382.73	41320.362500329684
351	1904331.501	42641.20154906201
352	1900959.894	42645.50887495821
353	1909344.763	42651.665973822935
354	1898162.693	42653.66717315701
355	1911045.248	42676.54285111853
356	1910774.525	42635.6012142663
357	1908726.99	42655.037917764595
358	1904228.764	42623.5751745725
359	1912318.728	42707.776515546335
360	1909779.68	42673.873198335226
361	1910512.107	42677.65969751381
362	1907412.077	42650.114844962976
363	1911012.195	42659.5100008533
364	1908152.864	42647.23367839816
365	1903656.71	42709.923551901076
366	1910753.712	42586.151157733024
367	1910048.269	42667.08066470666
368	1909505.787	42623.22489214068
369	1902821.364	42680.22171231811
370	1909588.03	42589.66801945654
371	1900590.859	42668.021178250776
372	1913248.501	42624.60131313075
373	1910346.529	42640.66736637215
374	1912690.747	42589.41950278676
375	1913172.319	42613.65264510996
376	1902240.99	42681.36413645065
377	1908187.496	42715.50864348023
378	1911507.929	42698.387821386925
379	1914303.224	42752.703520051116
380	1913667.951	42599.807494921726
381	1918550.22	42642.221252948555
382	1913759.506	42649.962573270604
383	1918855.792	42641.618910782054
384	1917309.368	42571.68160364673
385	1917814.162	42607.73122063081
386	1910976.756	42610.82336672376
387	1917650.607	42602.24441369295
388	1911984.618	42665.26536505784
389	1914020.117	42616.01721911299
390	1912123.594	42624.146101669685
391	1906440.535	42660.807989790184
392	1914129.17	42615.97863814195
393	1914153.082	42630.694687763345
394	1910505.789	42586.74890370545
395	1916292.816	42634.04916616752
396	1909829.71	42649.569372154605
397	1923516.199	42668.80428851293
398	1906885.015	42631.12821193878
399	1918076.023	42653.08715311694
400	1907182.049	42661.4002203297
401	1918290.316	42676.895730317214
402	1908951.388	42593.256151111615
403	1916673.57	42766.09311139156
