Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
10	23:07:22	23:07:22	23:07:22	23:07:22	23:07:22	23:07:22			23:07:22	23:07:22	23:07:22	23:07:22	23:07:41	23:07:41	23:07:41	23:07:41	23:07:41	23:07:41	23:07:41	23:07:41	23:07:45	23:07:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:18	00:00:00	00:00:00	00:00:00	00:00:04	00:00:23
11	23:07:45	23:07:45	23:07:45	23:07:45	23:07:45	23:07:45			23:07:45	23:07:45	23:07:45	23:07:45	23:08:05	23:08:05	23:08:05	23:08:05	23:08:05	23:08:05			23:08:08	23:08:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
12	23:08:08	23:08:08	23:08:08	23:08:08	23:08:08	23:08:08			23:08:08	23:08:08	23:08:08	23:08:08	23:08:29	23:08:29	23:08:29	23:08:29	23:08:29	23:08:29			23:08:31	23:08:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
13	23:08:31	23:08:31	23:08:31	23:08:31	23:08:31	23:08:31			23:08:31	23:08:31	23:08:32	23:08:32	23:08:53	23:08:53	23:08:53	23:08:53	23:08:54	23:08:54			23:08:56	23:08:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
14	23:08:56	23:08:56	23:08:56	23:08:56	23:08:56	23:08:56			23:08:56	23:08:56	23:08:56	23:08:56	23:09:15	23:09:15	23:09:15	23:09:15	23:09:15	23:09:15			23:09:17	23:09:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:18	00:00:00	00:00:00		00:00:02	00:00:21
15	23:09:18	23:09:18	23:09:18	23:09:18	23:09:18	23:09:18			23:09:18	23:09:18	23:09:18	23:09:18	23:09:36	23:09:36	23:09:36	23:09:36	23:09:36	23:09:36			23:09:39	23:09:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:18	00:00:00	00:00:00		00:00:02	00:00:21
16	23:09:39	23:09:39	23:09:39	23:09:39	23:09:39	23:09:39			23:09:39	23:09:39	23:09:39	23:09:39	23:09:59	23:09:59	23:09:59	23:09:59	23:09:59	23:09:59			23:10:02	23:10:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
17	23:10:02	23:10:02	23:10:02	23:10:02	23:10:02	23:10:02			23:10:02	23:10:02	23:10:02	23:10:02	23:10:22	23:10:22	23:10:22	23:10:22	23:10:22	23:10:22			23:10:24	23:10:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
18	23:10:24	23:10:24	23:10:24	23:10:24	23:10:24	23:10:24			23:10:24	23:10:24	23:10:24	23:10:24	23:10:44	23:10:44	23:10:44	23:10:44	23:10:44	23:10:44			23:10:46	23:10:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
19	23:10:46	23:10:46	23:10:46	23:10:46	23:10:47	23:10:47			23:10:47	23:10:47	23:10:47	23:10:47	23:11:05	23:11:05	23:11:05	23:11:05	23:11:06	23:11:06			23:11:08	23:11:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:18	00:00:00	00:00:00		00:00:02	00:00:21
20	23:11:08	23:11:08	23:11:08	23:11:08	23:11:08	23:11:08			23:11:08	23:11:08	23:11:08	23:11:08	23:11:30	23:11:30	23:11:30	23:11:30	23:11:30	23:11:30	23:11:30	23:11:30	23:11:34	23:11:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00	00:00:00	00:00:03	00:00:25
21	23:11:34	23:11:34	23:11:34	23:11:34	23:11:34	23:11:34			23:11:34	23:11:34	23:11:34	23:11:34	23:11:55	23:11:55	23:11:55	23:11:55	23:11:55	23:11:55			23:11:57	23:11:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
22	23:11:57	23:11:57	23:11:57	23:11:57	23:11:58	23:11:58			23:11:58	23:11:58	23:11:58	23:11:58	23:12:18	23:12:18	23:12:18	23:12:18	23:12:18	23:12:18			23:12:21	23:12:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
23	23:12:21	23:12:21	23:12:21	23:12:21	23:12:21	23:12:21			23:12:21	23:12:21	23:12:21	23:12:21	23:12:42	23:12:42	23:12:42	23:12:42	23:12:42	23:12:42			23:12:45	23:12:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
24	23:12:45	23:12:45	23:12:45	23:12:45	23:12:45	23:12:45			23:12:45	23:12:45	23:12:45	23:12:45	23:13:05	23:13:05	23:13:05	23:13:05	23:13:05	23:13:05			23:13:07	23:13:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
25	23:13:07	23:13:07	23:13:07	23:13:07	23:13:08	23:13:08			23:13:08	23:13:08	23:13:08	23:13:08	23:13:29	23:13:29	23:13:29	23:13:29	23:13:29	23:13:29			23:13:32	23:13:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
26	23:13:32	23:13:32	23:13:32	23:13:32	23:13:32	23:13:32			23:13:32	23:13:32	23:13:32	23:13:32	23:13:54	23:13:54	23:13:54	23:13:54	23:13:54	23:13:54			23:13:57	23:13:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
27	23:13:57	23:13:57	23:13:57	23:13:57	23:13:57	23:13:57			23:13:57	23:13:57	23:13:57	23:13:57	23:14:18	23:14:18	23:14:18	23:14:18	23:14:18	23:14:18			23:14:20	23:14:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
28	23:14:20	23:14:20	23:14:21	23:14:21	23:14:21	23:14:21			23:14:21	23:14:21	23:14:21	23:14:21	23:14:51	23:14:51	23:14:51	23:14:51	23:14:51	23:14:51			23:14:54	23:14:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:30	00:00:00	00:00:00		00:00:02	00:00:33
29	23:14:54	23:14:54	23:14:54	23:14:54	23:14:55	23:14:55			23:14:55	23:14:55	23:14:55	23:14:55	23:15:22	23:15:22	23:15:22	23:15:22	23:15:22	23:15:22			23:15:25	23:15:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:27	00:00:00	00:00:00		00:00:03	00:00:31
30	23:15:26	23:15:26	23:15:26	23:15:26	23:15:26	23:15:26			23:15:26	23:15:26	23:15:26	23:15:26	23:16:39	23:16:39	23:16:39	23:16:39	23:16:39	23:16:39	23:16:39	23:16:39	23:16:48	23:16:48		00:00:00	00:00:00		00:00:00	00:00:00	00:01:13	00:00:00	00:00:00	00:00:00	00:00:08	00:01:22
31	23:16:48	23:16:48	23:16:48	23:16:48	23:16:49	23:16:49			23:16:49	23:16:49	23:16:49	23:16:49	23:17:47	23:17:47	23:17:47	23:17:47	23:17:47	23:17:47			23:17:50	23:17:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:58	00:00:00	00:00:00		00:00:03	00:01:02
32	23:17:50	23:17:50	23:17:50	23:17:50	23:17:51	23:17:51			23:17:51	23:17:51	23:17:51	23:17:51	23:18:31	23:18:31	23:18:31	23:18:31	23:18:31	23:18:31			23:18:35	23:18:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:39	00:00:00	00:00:00		00:00:04	00:00:44
33	23:18:35	23:18:35	23:18:35	23:18:35	23:18:36	23:18:36			23:18:36	23:18:36	23:18:36	23:18:36	23:19:21	23:19:21	23:19:21	23:19:21	23:19:21	23:19:21			23:19:24	23:19:24		00:00:00	00:00:00		00:00:00	00:00:00	00:00:45	00:00:00	00:00:00		00:00:03	00:00:48
34	23:19:24	23:19:24	23:19:25	23:19:25	23:19:25	23:19:25			23:19:25	23:19:25	23:19:25	23:19:25	23:20:06	23:20:06	23:20:06	23:20:06	23:20:06	23:20:06			23:20:09	23:20:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:40	00:00:00	00:00:00		00:00:03	00:00:44
35	23:20:09	23:20:09	23:20:09	23:20:09	23:20:10	23:20:10			23:20:10	23:20:10	23:20:10	23:20:10	23:20:48	23:20:48	23:20:48	23:20:48	23:20:48	23:20:48			23:20:51	23:20:51		00:00:00	00:00:00		00:00:00	00:00:00	00:00:37	00:00:00	00:00:00		00:00:03	00:00:41
36	23:20:51	23:20:51	23:20:51	23:20:51	23:20:51	23:20:51			23:20:51	23:20:51	23:20:51	23:20:51	23:21:30	23:21:30	23:21:30	23:21:30	23:21:30	23:21:30			23:21:34	23:21:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:38	00:00:00	00:00:00		00:00:03	00:00:42
37	23:21:34	23:21:34	23:21:34	23:21:34	23:21:34	23:21:34			23:21:34	23:21:34	23:21:34	23:21:34	23:22:13	23:22:13	23:22:13	23:22:13	23:22:13	23:22:13			23:22:17	23:22:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:39	00:00:00	00:00:00		00:00:03	00:00:42
38	23:22:17	23:22:17	23:22:17	23:22:17	23:22:17	23:22:17			23:22:17	23:22:17	23:22:17	23:22:17	23:22:46	23:22:46	23:22:46	23:22:46	23:22:46	23:22:46			23:22:49	23:22:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:28	00:00:00	00:00:00		00:00:02	00:00:31
39	23:22:49	23:22:49	23:22:49	23:22:49	23:22:49	23:22:49			23:22:49	23:22:49	23:22:49	23:22:49	23:23:11	23:23:11	23:23:11	23:23:11	23:23:11	23:23:11			23:23:14	23:23:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
40	23:23:14	23:23:14	23:23:14	23:23:14	23:23:14	23:23:14			23:23:14	23:23:14	23:23:14	23:23:14	23:23:36	23:23:36	23:23:36	23:23:36	23:23:36	23:23:36	23:23:36	23:23:36	23:23:40	23:23:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00	00:00:00	00:00:04	00:00:26
41	23:23:40	23:23:40	23:23:40	23:23:40	23:23:41	23:23:41			23:23:41	23:23:41	23:23:41	23:23:41	23:24:02	23:24:02	23:24:02	23:24:02	23:24:02	23:24:02			23:24:05	23:24:05		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
42	23:24:05	23:24:05	23:24:05	23:24:05	23:24:05	23:24:05			23:24:05	23:24:05	23:24:05	23:24:05	23:24:27	23:24:27	23:24:27	23:24:27	23:24:27	23:24:27			23:24:30	23:24:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
43	23:24:30	23:24:30	23:24:30	23:24:30	23:24:30	23:24:30			23:24:30	23:24:30	23:24:31	23:24:31	23:24:52	23:24:52	23:24:52	23:24:52	23:24:52	23:24:52			23:24:54	23:24:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
44	23:24:54	23:24:54	23:24:54	23:24:54	23:24:55	23:24:55			23:24:55	23:24:55	23:24:55	23:24:55	23:25:17	23:25:17	23:25:18	23:25:18	23:25:18	23:25:18			23:25:21	23:25:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:01	00:00:00		00:00:02	00:00:26
45	23:25:21	23:25:21	23:25:21	23:25:21	23:25:21	23:25:21			23:25:21	23:25:21	23:25:21	23:25:21	23:25:43	23:25:43	23:25:43	23:25:43	23:25:43	23:25:43			23:25:45	23:25:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
46	23:25:45	23:25:45	23:25:45	23:25:45	23:25:46	23:25:46			23:25:46	23:25:46	23:25:46	23:25:46	23:26:09	23:26:09	23:26:09	23:26:09	23:26:09	23:26:09			23:26:11	23:26:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:23	00:00:00	00:00:00		00:00:02	00:00:26
47	23:26:12	23:26:12	23:26:12	23:26:12	23:26:12	23:26:12			23:26:12	23:26:12	23:26:12	23:26:12	23:26:34	23:26:34	23:26:34	23:26:34	23:26:34	23:26:34			23:26:36	23:26:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
48	23:26:36	23:26:36	23:26:36	23:26:36	23:26:37	23:26:37			23:26:37	23:26:37	23:26:37	23:26:37	23:26:57	23:26:57	23:26:57	23:26:57	23:26:57	23:26:57			23:27:00	23:27:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
49	23:27:00	23:27:00	23:27:00	23:27:00	23:27:00	23:27:00			23:27:00	23:27:00	23:27:01	23:27:01	23:27:22	23:27:22	23:27:22	23:27:22	23:27:22	23:27:22			23:27:25	23:27:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
50	23:27:25	23:27:25	23:27:25	23:27:25	23:27:25	23:27:25			23:27:25	23:27:25	23:27:25	23:27:25	23:27:45	23:27:45	23:27:46	23:27:46	23:27:46	23:27:46	23:27:46	23:27:46	23:27:50	23:27:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00	00:00:00	00:00:03	00:00:24
51	23:27:50	23:27:50	23:27:50	23:27:50	23:27:50	23:27:50			23:27:50	23:27:50	23:27:50	23:27:50	23:28:12	23:28:12	23:28:12	23:28:12	23:28:12	23:28:12			23:28:15	23:28:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:25
52	23:28:15	23:28:15	23:28:15	23:28:15	23:28:15	23:28:15			23:28:15	23:28:15	23:28:15	23:28:15	23:28:36	23:28:36	23:28:36	23:28:36	23:28:36	23:28:36			23:28:39	23:28:39		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
53	23:28:39	23:28:39	23:28:39	23:28:39	23:28:39	23:28:39			23:28:39	23:28:39	23:28:39	23:28:39	23:29:02	23:29:02	23:29:02	23:29:02	23:29:02	23:29:02			23:29:04	23:29:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
54	23:29:04	23:29:04	23:29:04	23:29:04	23:29:05	23:29:05			23:29:05	23:29:05	23:29:05	23:29:05	23:29:27	23:29:27	23:29:27	23:29:27	23:29:27	23:29:27			23:29:29	23:29:29		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
55	23:29:30	23:29:30	23:29:30	23:29:30	23:29:30	23:29:30			23:29:30	23:29:30	23:29:30	23:29:30	23:29:49	23:29:49	23:29:49	23:29:49	23:29:49	23:29:49			23:29:52	23:29:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
56	23:29:52	23:29:52	23:29:52	23:29:52	23:29:52	23:29:52			23:29:52	23:29:52	23:29:52	23:29:52	23:30:13	23:30:13	23:30:13	23:30:13	23:30:13	23:30:13			23:30:16	23:30:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
57	23:30:16	23:30:16	23:30:16	23:30:16	23:30:16	23:30:16			23:30:16	23:30:16	23:30:16	23:30:16	23:30:35	23:30:35	23:30:35	23:30:35	23:30:36	23:30:36			23:30:38	23:30:38		00:00:00	00:00:00		00:00:00	00:00:00	00:00:18	00:00:00	00:00:00		00:00:02	00:00:22
58	23:30:38	23:30:38	23:30:38	23:30:38	23:30:38	23:30:38			23:30:38	23:30:38	23:30:38	23:30:38	23:31:00	23:31:00	23:31:00	23:31:00	23:31:00	23:31:00			23:31:02	23:31:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
59	23:31:02	23:31:02	23:31:03	23:31:03	23:31:03	23:31:03			23:31:03	23:31:03	23:31:03	23:31:03	23:31:22	23:31:22	23:31:22	23:31:22	23:31:22	23:31:22			23:31:25	23:31:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
60	23:31:25	23:31:25	23:31:25	23:31:25	23:31:25	23:31:25			23:31:25	23:31:25	23:31:25	23:31:25	23:31:44	23:31:44	23:31:44	23:31:44	23:31:44	23:31:44	23:31:44	23:31:44	23:31:48	23:31:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:18	00:00:00	00:00:00	00:00:00	00:00:04	00:00:23
61	23:31:48	23:31:48	23:31:48	23:31:48	23:31:48	23:31:48			23:31:48	23:31:48	23:31:49	23:31:49	23:32:08	23:32:08	23:32:08	23:32:08	23:32:08	23:32:08			23:32:11	23:32:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
62	23:32:11	23:32:11	23:32:11	23:32:11	23:32:11	23:32:11			23:32:11	23:32:11	23:32:11	23:32:11	23:32:30	23:32:30	23:32:30	23:32:30	23:32:30	23:32:30			23:32:34	23:32:34		00:00:00	00:00:00		00:00:00	00:00:00	00:00:18	00:00:00	00:00:00		00:00:04	00:00:23
63	23:32:34	23:32:34	23:32:34	23:32:34	23:32:35	23:32:35			23:32:35	23:32:35	23:32:35	23:32:35	23:32:54	23:32:54	23:32:54	23:32:54	23:32:55	23:32:55			23:32:57	23:32:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
64	23:32:57	23:32:57	23:32:57	23:32:57	23:32:57	23:32:57			23:32:58	23:32:58	23:32:58	23:32:58	23:33:16	23:33:16	23:33:16	23:33:16	23:33:16	23:33:16			23:33:19	23:33:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:18	00:00:00	00:00:00		00:00:02	00:00:21
65	23:33:19	23:33:19	23:33:19	23:33:19	23:33:19	23:33:19			23:33:19	23:33:19	23:33:19	23:33:19	23:33:40	23:33:40	23:33:40	23:33:40	23:33:40	23:33:40			23:33:43	23:33:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
66	23:33:43	23:33:43	23:33:43	23:33:43	23:33:43	23:33:43			23:33:43	23:33:43	23:33:43	23:33:43	23:34:04	23:34:04	23:34:04	23:34:04	23:34:04	23:34:04			23:34:06	23:34:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
67	23:34:07	23:34:07	23:34:07	23:34:07	23:34:07	23:34:07			23:34:07	23:34:07	23:34:07	23:34:07	23:34:29	23:34:29	23:34:29	23:34:29	23:34:29	23:34:29			23:34:32	23:34:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:25
68	23:34:32	23:34:32	23:34:32	23:34:32	23:34:32	23:34:32			23:34:32	23:34:32	23:34:32	23:34:32	23:34:53	23:34:53	23:34:53	23:34:53	23:34:53	23:34:53			23:34:56	23:34:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
69	23:34:56	23:34:56	23:34:56	23:34:56	23:34:56	23:34:56			23:34:56	23:34:56	23:34:56	23:34:56	23:35:17	23:35:17	23:35:17	23:35:17	23:35:17	23:35:17			23:35:20	23:35:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
70	23:35:20	23:35:20	23:35:20	23:35:20	23:35:20	23:35:20			23:35:20	23:35:20	23:35:20	23:35:20	23:35:40	23:35:40	23:35:40	23:35:40	23:35:40	23:35:40	23:35:40	23:35:40	23:35:44	23:35:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00	00:00:00	00:00:03	00:00:23
71	23:35:44	23:35:44	23:35:44	23:35:44	23:35:44	23:35:44			23:35:44	23:35:44	23:35:44	23:35:44	23:36:06	23:36:06	23:36:06	23:36:06	23:36:06	23:36:06			23:36:09	23:36:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
72	23:36:09	23:36:09	23:36:09	23:36:09	23:36:09	23:36:09			23:36:09	23:36:09	23:36:09	23:36:09	23:36:30	23:36:30	23:36:30	23:36:30	23:36:30	23:36:30			23:36:33	23:36:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
73	23:36:33	23:36:33	23:36:33	23:36:33	23:36:33	23:36:33			23:36:33	23:36:33	23:36:33	23:36:33	23:36:55	23:36:55	23:36:55	23:36:55	23:36:55	23:36:55			23:36:58	23:36:58		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
74	23:36:58	23:36:58	23:36:58	23:36:58	23:36:58	23:36:58			23:36:58	23:36:58	23:36:58	23:36:58	23:37:19	23:37:19	23:37:19	23:37:19	23:37:19	23:37:19			23:37:22	23:37:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:24
75	23:37:22	23:37:22	23:37:22	23:37:22	23:37:22	23:37:22			23:37:22	23:37:22	23:37:23	23:37:23	23:37:45	23:37:45	23:37:45	23:37:45	23:37:45	23:37:45			23:37:48	23:37:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:22	00:00:00	00:00:00		00:00:02	00:00:25
76	23:37:48	23:37:48	23:37:48	23:37:48	23:37:48	23:37:48			23:37:48	23:37:48	23:37:48	23:37:48	23:38:09	23:38:09	23:38:09	23:38:09	23:38:09	23:38:09			23:38:11	23:38:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:20	00:00:00	00:00:00		00:00:02	00:00:23
77	23:38:11	23:38:11	23:38:11	23:38:11	23:38:12	23:38:12			23:38:12	23:38:12	23:38:12	23:38:12	23:38:33	23:38:33	23:38:33	23:38:33	23:38:33	23:38:33			23:38:36	23:38:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
78	23:38:36	23:38:36	23:38:36	23:38:36	23:38:36	23:38:36			23:38:36	23:38:36	23:38:36	23:38:36	23:38:57	23:38:57	23:38:57	23:38:57	23:38:57	23:38:57			23:39:00	23:39:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:21	00:00:00	00:00:00		00:00:02	00:00:24
79	23:39:00	23:39:00	23:39:00	23:39:00	23:39:00	23:39:00			23:39:01	23:39:01	23:39:01	23:39:01	23:39:20	23:39:20	23:39:20	23:39:20	23:39:20	23:39:20			23:39:23	23:39:23		00:00:00	00:00:00		00:00:00	00:00:00	00:00:19	00:00:00	00:00:00		00:00:02	00:00:22
