# iteration	operator	status	plan id	creator	parent	vehicle	pax	score	budget	start time	end time	important stops	links
2	para_2_27	BANKRUPT	2_0	CreateNewPlan	none	5	37	-12897.861284277777	-12896.861284277777	08:15:00	11:00:00	[para_21, para_101]	[21, 20, 67, 9, 5, 136, 36, 101, 100, 37, 137, 4, 8, 66, 21]
2	para_2_27	BANKRUPT	=====	=====	=====	5	37	-12897.861284277777	-12896.861284277777	=====	=====	=====	=====
2	para_2_28	BANKRUPT	2_0	CreateNewPlan	none	5	237	-13010.983261333335	-13009.983261333335	07:00:00	23:15:00	[para_203, para_260]	[203, 26, 68, 87, 39, 40, 88, 97, 260, 100, 37, 203]
2	para_2_28	BANKRUPT	=====	=====	=====	5	237	-13010.983261333335	-13009.983261333335	=====	=====	=====	=====
2	para_2_29	BANKRUPT	2_0	CreateNewPlan	none	5	125	-13123.390143499999	-13122.390143499999	07:00:00	07:15:00	[para_47, para_101]	[47, 218, 101, 43, 46, 47]
2	para_2_29	BANKRUPT	=====	=====	=====	5	125	-13123.390143499999	-13122.390143499999	=====	=====	=====	=====
2	para_2_30	BANKRUPT	2_0	CreateNewPlan	none	5	122	-13126.2917075	-13125.2917075	07:00:00	07:15:00	[para_36, para_273]	[36, 282, 273, 102, 278, 3, 120, 36]
2	para_2_30	BANKRUPT	=====	=====	=====	5	122	-13126.2917075	-13125.2917075	=====	=====	=====	=====
3	para_3_31	BANKRUPT	3_0	CreateNewPlan	none	5	90	-13158.495196666665	-13157.495196666665	07:00:00	15:00:00	[para_99, para_97]	[99, 98, 179, 20, 95, 254, 96, 97, 255, 94, 21, 178, 99]
3	para_3_31	BANKRUPT	=====	=====	=====	5	90	-13158.495196666665	-13157.495196666665	=====	=====	=====	=====
3	para_3_32	BANKRUPT	3_0	CreateNewPlan	none	5	140	-10356.229569166668	-10355.229569166668	18:00:00	20:00:00	[para_260, para_83]	[260, 43, 44, 81, 82, 83, 80, 285, 131, 0, 26, 68, 87, 39, 40, 88, 97, 260]
3	para_3_32	BANKRUPT	=====	=====	=====	5	140	-10356.229569166668	-10355.229569166668	=====	=====	=====	=====
3	para_3_33	BANKRUPT	3_0	CreateNewPlan	none	5	240	-13008.482876222228	-13007.482876222228	07:00:00	08:15:00	[para_31, para_148]	[31, 7, 4, 148, 183, 194, 31]
3	para_3_33	BANKRUPT	=====	=====	=====	5	240	-13008.482876222228	-13007.482876222228	=====	=====	=====	=====
3	para_3_34	BANKRUPT	3_0	CreateNewPlan	none	5	70	-11677.968408	-11676.968408	13:00:00	22:00:00	[para_101, para_6]	[101, 100, 37, 137, 6, 202, 36, 101]
3	para_3_34	BANKRUPT	=====	=====	=====	5	70	-11677.968408	-11676.968408	=====	=====	=====	=====
3	para_3_35	BANKRUPT	3_0	CreateNewPlan	none	5	141	-13105.841765	-13104.841765	07:00:00	12:00:00	[para_260, para_74]	[260, 100, 280, 243, 73, 74, 102, 278, 3, 0, 26, 68, 87, 39, 40, 88, 97, 260]
3	para_3_35	BANKRUPT	=====	=====	=====	5	141	-13105.841765	-13104.841765	=====	=====	=====	=====
3	para_3_36	BANKRUPT	3_0	CreateNewPlan	none	5	99	-11148.769661666665	-11147.769661666665	15:00:00	15:15:00	[para_91, para_47]	[91, 90, 3, 120, 36, 219, 46, 47, 218, 37, 121, 2, 91]
3	para_3_36	BANKRUPT	=====	=====	=====	5	99	-11148.769661666665	-11147.769661666665	=====	=====	=====	=====
3	para_3_37	BANKRUPT	3_0	CreateNewPlan	none	5	36	-10711.149122444443	-10710.149122444443	17:00:00	19:45:00	[para_260, para_27]	[260, 100, 37, 204, 27, 26, 68, 87, 39, 40, 88, 97, 260]
3	para_3_37	BANKRUPT	=====	=====	=====	5	36	-10711.149122444443	-10710.149122444443	=====	=====	=====	=====
3	para_3_38	BANKRUPT	3_0	CreateNewPlan	none	5	104	-13142.8686465	-13141.8686465	07:00:00	08:15:00	[para_260, para_21]	[260, 100, 37, 137, 4, 8, 66, 21, 20, 95, 254, 260]
3	para_3_38	BANKRUPT	=====	=====	=====	5	104	-13142.8686465	-13141.8686465	=====	=====	=====	=====
3	para_3_39	BANKRUPT	3_0	CreateNewPlan	none	5	444	-12805.430174888888	-12804.430174888888	07:00:00	15:00:00	[para_70, para_173]	[70, 71, 49, 50, 173, 172, 51, 48, 70]
3	para_3_39	BANKRUPT	=====	=====	=====	5	444	-12805.430174888888	-12804.430174888888	=====	=====	=====	=====
3	para_3_40	BANKRUPT	3_0	CreateNewPlan	none	5	31	-11466.113843666666	-11465.113843666666	14:00:00	19:00:00	[para_259, para_43]	[259, 260, 43, 218, 37, 163, 12, 259]
3	para_3_40	BANKRUPT	=====	=====	=====	5	31	-11466.113843666666	-11465.113843666666	=====	=====	=====	=====
4	para_4_41	BANKRUPT	4_0	CreateNewPlan	none	5	0	-12935.688148777775	-12934.688148777775	08:15:00	08:30:00	[para_221, para_284]	[221, 183, 198, 284, 285, 199, 184, 221]
4	para_4_41	BANKRUPT	=====	=====	=====	5	0	-12935.688148777775	-12934.688148777775	=====	=====	=====	=====
4	para_4_42	BANKRUPT	4_0	CreateNewPlan	none	5	90	-10407.854982833333	-10406.854982833333	18:00:00	21:45:00	[para_42, para_88]	[42, 261, 96, 89, 88, 97, 260, 43, 42]
4	para_4_42	BANKRUPT	=====	=====	=====	5	90	-10407.854982833333	-10406.854982833333	=====	=====	=====	=====
4	para_4_43	BANKRUPT	4_0	CreateNewPlan	none	5	178	-10320.191857333331	-10319.191857333331	18:00:00	23:15:00	[para_241, para_101]	[241, 242, 281, 101, 100, 280, 105, 241]
4	para_4_43	BANKRUPT	=====	=====	=====	5	178	-10320.191857333331	-10319.191857333331	=====	=====	=====	=====
4	para_4_44	BANKRUPT	4_0	CreateNewPlan	none	5	83	-13166.335203555553	-13165.335203555553	07:00:00	07:15:00	[para_197, para_92]	[197, 159, 170, 92, 13, 117, 2, 279, 197]
4	para_4_44	BANKRUPT	=====	=====	=====	5	83	-13166.335203555553	-13165.335203555553	=====	=====	=====	=====
4	para_4_45	BANKRUPT	4_0	CreateNewPlan	none	5	90	-12845.046066888888	-12844.046066888888	08:15:00	15:00:00	[para_101, para_14]	[101, 100, 37, 137, 4, 8, 66, 21, 15, 14, 20, 67, 9, 5, 136, 36, 101]
4	para_4_45	BANKRUPT	=====	=====	=====	5	90	-12845.046066888888	-12844.046066888888	=====	=====	=====	=====
4	para_4_46	BANKRUPT	4_0	CreateNewPlan	none	5	221	-13027.404737444444	-13026.404737444444	07:00:00	07:15:00	[para_15, para_83]	[15, 16, 51, 48, 76, 113, 110, 109, 107, 83, 71, 49, 50, 63, 60, 177, 15]
4	para_4_46	BANKRUPT	=====	=====	=====	5	221	-13027.404737444444	-13026.404737444444	=====	=====	=====	=====
4	para_4_47	BANKRUPT	4_0	CreateNewPlan	none	5	253	-12993.884383055554	-12992.884383055554	07:00:00	07:15:00	[para_260, para_79]	[260, 43, 44, 81, 78, 79, 80, 285, 131, 0, 26, 68, 87, 39, 40, 88, 97, 260]
4	para_4_47	BANKRUPT	=====	=====	=====	5	253	-12993.884383055554	-12992.884383055554	=====	=====	=====	=====
4	para_4_48	BANKRUPT	4_0	CreateNewPlan	none	5	240	-13007.489894111111	-13006.489894111111	07:00:00	07:15:00	[para_0, para_79]	[0, 1, 130, 284, 81, 78, 79, 80, 285, 131, 0]
4	para_4_48	BANKRUPT	=====	=====	=====	5	240	-13007.489894111111	-13006.489894111111	=====	=====	=====	=====
4	para_4_49	BANKRUPT	4_0	CreateNewPlan	none	5	72	-9174.995027777777	-9173.995027777777	23:00:00	23:15:00	[para_70, para_31]	[70, 80, 285, 269, 31, 1, 2, 91, 85, 73, 70]
4	para_4_49	BANKRUPT	=====	=====	=====	5	72	-9174.995027777777	-9173.995027777777	=====	=====	=====	=====
4	para_4_50	BANKRUPT	4_0	CreateNewPlan	none	5	134	-11613.603294555556	-11612.603294555556	13:00:00	17:00:00	[para_42, para_81]	[42, 43, 44, 81, 80, 45, 42]
4	para_4_50	BANKRUPT	=====	=====	=====	5	134	-11613.603294555556	-11612.603294555556	=====	=====	=====	=====
5	para_5_51	BANKRUPT	5_0	CreateNewPlan	none	5	316	-10931.576365388888	-10930.576365388888	15:00:00	20:00:00	[para_42, para_177]	[42, 100, 37, 181, 184, 60, 177, 20, 67, 9, 5, 136, 36, 219, 42]
5	para_5_51	BANKRUPT	=====	=====	=====	5	316	-10931.576365388888	-10930.576365388888	=====	=====	=====	=====
5	para_5_52	BANKRUPT	5_1	CreateNewPlan	none	5	22	-13225.373588777778	-13224.373588777778	07:00:00	07:15:00	[para_284, para_85]	[284, 285, 286, 91, 85, 242, 284]
5	para_5_52	BANKRUPT	=====	=====	=====	5	22	-13225.373588777778	-13224.373588777778	=====	=====	=====	=====
